Transaction Date,Fee Classification,Fee Name,Order No.,Order Item No.,Amount,WHT Amount,Statement,Payment Ref ID
2026-01-15,Orders-Logistics,Shipping Fee (Paid By Customer),789180642,789180642-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Logistics,Shipping Fee Paid by Seller,789180642,789180642-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Sales,Item Price Credit,792325218,792325218-1,48.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Commission,792325218,792325218-1,-2.16,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Payment Fee,792325218,792325218-1,-1.57,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Sales,Item Price Credit,792644125,792644125-1,48.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Marketing Fees,Lazcoin discount,792644125,792644125-1,-0.96,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Commission,792644125,792644125-1,-2.16,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Payment Fee,792644125,792644125-1,-1.57,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Campaign Fee,792644125,792644125-1,-0.96,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Logistics,Shipping Fee (Paid By Customer),792644125,792644125-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Logistics,Shipping Fee Paid by Seller,792644125,792644125-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Logistics,Shipping Fee Voucher (by Lazada),792644125,792644125-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Sales,Item Price Credit,715359471,715359471-1,89.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Marketing Fees,Seller Funded Marketing Voucher,715359471,715359471-1,-4.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Lazada Fees,Commission,715359471,715359471-1,-3.80,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Lazada Fees,Payment Fee,715359471,715359471-1,-2.91,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Sales,Item Price Credit,740596094,740596094-1,12.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Lazada Fees,Commission,740596094,740596094-1,-0.58,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Lazada Fees,Payment Fee,740596094,740596094-1,-0.42,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Lazada Fees,Campaign Fee,740596094,740596094-1,-0.26,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Sales,Item Price Credit,795651788,795651788-1,62.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Lazada Fees,Commission,795651788,795651788-1,-2.81,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Lazada Fees,Payment Fee,795651788,795651788-1,-2.04,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Logistics,Shipping Fee (Paid By Customer),795651788,795651788-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Logistics,Shipping Fee Paid by Seller,795651788,795651788-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-16,Orders-Logistics,Shipping Fee Voucher (by Lazada),795651788,795651788-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Refunds-Claims,Lost Claim,718422428,718422428-1,67.65,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Sales,Item Price Credit,726162914,726162914-1,24.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Marketing Fees,Seller Funded Marketing Voucher,726162914,726162914-1,-1.20,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Lazada Fees,Commission,726162914,726162914-1,-1.03,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Lazada Fees,Payment Fee,726162914,726162914-1,-0.78,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Lazada Fees,Campaign Fee,726162914,726162914-1,-0.46,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Logistics,Shipping Fee (Paid By Customer),726162914,726162914-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Logistics,Shipping Fee Paid by Seller,726162914,726162914-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Sales,Item Price Credit,738017615,738017615-1,12.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Marketing Fees,Lazcoin discount,738017615,738017615-1,-0.26,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Lazada Fees,Commission,738017615,738017615-1,-0.58,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Lazada Fees,Payment Fee,738017615,738017615-1,-0.42,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Refunds-Sales,Reversal Item Price,738802617,738802617-1,-48.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Refunds-Lazada Fees,Reversal Commission,738802617,738802617-1,2.05,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Refunds-Marketing Fees,Reversal Promotional Charges Vouchers,738802617,738802617-1,2.40,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Refunds-Logistics,Return shipping fees,738802617,738802617-1,-2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Sales,Item Price Credit,772641757,772641757-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Marketing Fees,Lazcoin discount,772641757,772641757-1,-4.20,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Marketing Fees,Promotional Charges Flexi-Combo,772641757,772641757-1,-16.80,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Lazada Fees,Commission,772641757,772641757-1,-9.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Lazada Fees,Payment Fee,772641757,772641757-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Logistics,Shipping Fee (Paid By Customer),772641757,772641757-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Logistics,Shipping Fee Paid by Seller,772641757,772641757-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-18,Orders-Logistics,Shipping Fee Voucher (by Lazada),772641757,772641757-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Sales,Item Price Credit,729515716,729515716-1,48.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Commission,729515716,729515716-1,-2.16,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Payment Fee,729515716,729515716-1,-1.57,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Logistics,Shipping Fee (Paid By Customer),729515716,729515716-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Logistics,Shipping Fee Paid by Seller,729515716,729515716-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Sales,Item Price Credit,732362206,732362206-1,62.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Commission,732362206,732362206-1,-2.81,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Payment Fee,732362206,732362206-1,-2.04,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Campaign Fee,732362206,732362206-1,-1.25,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Logistics,Shipping Fee (Paid By Customer),732362206,732362206-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Logistics,Shipping Fee Paid by Seller,732362206,732362206-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Logistics,Shipping Fee Voucher (by Lazada),732362206,732362206-1,1.95,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Sales,Item Price Credit,739262482,739262482-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Commission,739262482,739262482-1,-9.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Payment Fee,739262482,739262482-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Sales,Item Price Credit,742509009,742509009-1,35.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Commission,742509009,742509009-1,-1.62,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Payment Fee,742509009,742509009-1,-1.17,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Sales,Item Price Credit,778497880,778497880-1,19.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Marketing Fees,Promotional Charges Flexi-Combo,778497880,778497880-1,-1.56,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Commission,778497880,778497880-1,-0.88,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Payment Fee,778497880,778497880-1,-0.64,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Campaign Fee,778497880,778497880-1,-0.39,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Sales,Item Price Credit,783938586,783938586-1,62.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Commission,783938586,783938586-1,-2.81,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Lazada Fees,Payment Fee,783938586,783938586-1,-2.04,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Logistics,Shipping Fee (Paid By Customer),783938586,783938586-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-19,Orders-Logistics,Shipping Fee Paid by Seller,783938586,783938586-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-20,Refunds-Sales,Reversal Item Price,715359471,715359471-1,-89.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-20,Refunds-Lazada Fees,Reversal Commission,715359471,715359471-1,3.80,0.00,2026-01-31,PAY-SG-20260131
2026-01-20,Refunds-Marketing Fees,Reversal Promotional Charges Vouchers,715359471,715359471-1,4.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-20,Refunds-Logistics,Return shipping fees,715359471,715359471-1,-2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Refunds-Claims,Damaged Claim,,,29.51,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Claims,Shipping Fee Claims,,,8.89,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Sales,Item Price Credit,710213932,710213932-1,89.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Marketing Fees,Lazcoin discount,710213932,710213932-1,-1.78,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Lazada Fees,Commission,710213932,710213932-1,-4.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Lazada Fees,Payment Fee,710213932,710213932-1,-2.91,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Lazada Fees,Campaign Fee,710213932,710213932-1,-1.78,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Logistics,Shipping Fee (Paid By Customer),710213932,710213932-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Logistics,Shipping Fee Paid by Seller,710213932,710213932-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Logistics,Shipping Fee Voucher (by Lazada),710213932,710213932-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Reimbursements,Withholding tax,710213932,710213932-1,-0.89,0.89,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Sales,Item Price Credit,728783963,728783963-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Marketing Fees,Seller Funded Marketing Voucher,728783963,728783963-1,-10.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Marketing Fees,Lazcoin discount,728783963,728783963-1,-4.20,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Lazada Fees,Commission,728783963,728783963-1,-8.98,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Lazada Fees,Payment Fee,728783963,728783963-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Logistics,Shipping Fee (Paid By Customer),728783963,728783963-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Logistics,Shipping Fee Paid by Seller,728783963,728783963-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Sales,Item Price Credit,735354254,735354254-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Lazada Fees,Commission,735354254,735354254-1,-9.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Lazada Fees,Payment Fee,735354254,735354254-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Sales,Item Price Credit,746832865,746832865-1,24.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Lazada Fees,Commission,746832865,746832865-1,-1.08,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Lazada Fees,Payment Fee,746832865,746832865-1,-0.78,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Logistics,Shipping Fee (Paid By Customer),746832865,746832865-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-21,Orders-Logistics,Shipping Fee Paid by Seller,746832865,746832865-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Sales,Item Price Credit,713374072,713374072-1,48.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Marketing Fees,Lazcoin discount,713374072,713374072-1,-0.96,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Marketing Fees,Promotional Charges Flexi-Combo,713374072,713374072-1,-3.84,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Lazada Fees,Commission,713374072,713374072-1,-2.16,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Lazada Fees,Payment Fee,713374072,713374072-1,-1.57,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Reimbursements,Withholding tax,713374072,713374072-1,-0.48,0.48,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Sales,Item Price Credit,725357579,725357579-1,19.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Lazada Fees,Commission,725357579,725357579-1,-0.88,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Lazada Fees,Payment Fee,725357579,725357579-1,-0.64,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Sales,Item Price Credit,759858350,759858350-1,48.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Marketing Fees,Seller Funded Marketing Voucher,759858350,759858350-1,-2.40,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Lazada Fees,Commission,759858350,759858350-1,-2.05,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Lazada Fees,Payment Fee,759858350,759858350-1,-1.57,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Reimbursements,Withholding tax,759858350,759858350-1,-0.46,0.46,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Sales,Item Price Credit,779115741,779115741-1,35.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Marketing Fees,Seller Funded Marketing Voucher,779115741,779115741-1,-1.79,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Lazada Fees,Commission,779115741,779115741-1,-1.53,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Lazada Fees,Payment Fee,779115741,779115741-1,-1.17,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Logistics,Shipping Fee (Paid By Customer),779115741,779115741-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Logistics,Shipping Fee Paid by Seller,779115741,779115741-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Sales,Item Price Credit,790908114,790908114-1,19.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Lazada Fees,Commission,790908114,790908114-1,-0.88,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Lazada Fees,Payment Fee,790908114,790908114-1,-0.64,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Lazada Fees,Campaign Fee,790908114,790908114-1,-0.39,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Logistics,Shipping Fee (Paid By Customer),790908114,790908114-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-22,Orders-Logistics,Shipping Fee Paid by Seller,790908114,790908114-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Sales,Item Price Credit,739715391,739715391-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Lazada Fees,Commission,739715391,739715391-1,-9.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Lazada Fees,Payment Fee,739715391,739715391-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Logistics,Shipping Fee (Paid By Customer),739715391,739715391-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Logistics,Shipping Fee Paid by Seller,739715391,739715391-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Refunds-Sales,Reversal Item Price,740596094,740596094-1,-12.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Refunds-Lazada Fees,Reversal Commission,740596094,740596094-1,0.58,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Refunds-Logistics,Return shipping fees,740596094,740596094-1,-2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Sales,Item Price Credit,750667156,750667156-1,35.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Marketing Fees,Lazcoin discount,750667156,750667156-1,-0.72,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Lazada Fees,Commission,750667156,750667156-1,-1.62,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Lazada Fees,Payment Fee,750667156,750667156-1,-1.17,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Logistics,Shipping Fee (Paid By Customer),750667156,750667156-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Logistics,Shipping Fee Paid by Seller,750667156,750667156-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Sales,Item Price Credit,779087932,779087932-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Lazada Fees,Commission,779087932,779087932-1,-9.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-23,Orders-Lazada Fees,Payment Fee,779087932,779087932-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Lazada Fees,Commission fee refund - correction for overcharge,,,2.70,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Refunds-Lazada Fees,Commission fee - correction for undercharge,,,-2.81,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Lazada Fees,Payment fee refund - correction for overcharge,,,1.76,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Sales,Item Price Credit,759246380,759246380-1,62.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Marketing Fees,Seller Funded Marketing Voucher,759246380,759246380-1,-3.12,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Lazada Fees,Commission,759246380,759246380-1,-2.67,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Lazada Fees,Payment Fee,759246380,759246380-1,-2.04,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Lazada Fees,Campaign Fee,759246380,759246380-1,-1.19,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Sales,Item Price Credit,781882181,781882181-1,12.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Marketing Fees,Seller Funded Marketing Voucher,781882181,781882181-1,-0.64,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Lazada Fees,Commission,781882181,781882181-1,-0.55,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Lazada Fees,Payment Fee,781882181,781882181-1,-0.42,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Logistics,Shipping Fee (Paid By Customer),781882181,781882181-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Logistics,Shipping Fee Paid by Seller,781882181,781882181-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-24,Orders-Logistics,Shipping Fee Voucher (by Lazada),781882181,781882181-1,1.95,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Sales,Item Price Credit,727933445,727933445-1,35.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Marketing Fees,Seller Funded Marketing Voucher,727933445,727933445-1,-1.79,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Marketing Fees,Lazcoin discount,727933445,727933445-1,-0.72,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Marketing Fees,Promotional Charges Flexi-Combo,727933445,727933445-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Lazada Fees,Commission,727933445,727933445-1,-1.53,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Lazada Fees,Payment Fee,727933445,727933445-1,-1.17,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Lazada Fees,Campaign Fee,727933445,727933445-1,-0.68,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Logistics,Shipping Fee (Paid By Customer),727933445,727933445-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Logistics,Shipping Fee Paid by Seller,727933445,727933445-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Sales,Item Price Credit,755389455,755389455-1,12.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Lazada Fees,Commission,755389455,755389455-1,-0.58,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Lazada Fees,Payment Fee,755389455,755389455-1,-0.42,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Logistics,Shipping Fee (Paid By Customer),755389455,755389455-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Logistics,Shipping Fee Paid by Seller,755389455,755389455-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Logistics,Shipping Fee Voucher (by Lazada),755389455,755389455-1,1.95,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Sales,Item Price Credit,762555664,762555664-1,35.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Lazada Fees,Commission,762555664,762555664-1,-1.62,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Lazada Fees,Payment Fee,762555664,762555664-1,-1.17,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Lazada Fees,Campaign Fee,762555664,762555664-1,-0.72,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Sales,Item Price Credit,765381477,765381477-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Lazada Fees,Commission,765381477,765381477-1,-9.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Lazada Fees,Payment Fee,765381477,765381477-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Logistics,Shipping Fee (Paid By Customer),765381477,765381477-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-25,Orders-Logistics,Shipping Fee Paid by Seller,765381477,765381477-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Sales,Item Price Credit,714974543,714974543-1,129.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Commission,714974543,714974543-1,-5.80,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Payment Fee,714974543,714974543-1,-4.22,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Campaign Fee,714974543,714974543-1,-2.58,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Logistics,Shipping Fee (Paid By Customer),714974543,714974543-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Logistics,Shipping Fee Paid by Seller,714974543,714974543-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Sales,Item Price Credit,738724227,738724227-1,35.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Marketing Fees,Seller Funded Marketing Voucher,738724227,738724227-1,-1.79,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Commission,738724227,738724227-1,-1.53,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Payment Fee,738724227,738724227-1,-1.17,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Logistics,Shipping Fee (Paid By Customer),738724227,738724227-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Logistics,Shipping Fee Paid by Seller,738724227,738724227-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Reimbursements,Withholding tax,738724227,738724227-1,-0.34,0.34,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Sales,Item Price Credit,740822291,740822291-1,12.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Commission,740822291,740822291-1,-0.58,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Payment Fee,740822291,740822291-1,-0.42,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Sales,Item Price Credit,756825222,756825222-1,129.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Commission,756825222,756825222-1,-5.80,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Payment Fee,756825222,756825222-1,-4.22,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Sales,Item Price Credit,779052251,779052251-1,12.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Commission,779052251,779052251-1,-0.58,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Payment Fee,779052251,779052251-1,-0.42,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Lazada Fees,Campaign Fee,779052251,779052251-1,-0.26,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Logistics,Shipping Fee (Paid By Customer),779052251,779052251-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Logistics,Shipping Fee Paid by Seller,779052251,779052251-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-26,Orders-Logistics,Shipping Fee Voucher (by Lazada),779052251,779052251-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-27,Other,The fee that does not belong to the terms above,,,-6.21,0.00,2026-01-31,PAY-SG-20260131
2026-01-27,Orders-Sales,Item Price Credit,763233757,763233757-1,24.00,0.00,2026-01-31,PAY-SG-20260131
